Date,"Record Number","Record Type",Address,Description,"Permit Name",Status,"Short Notes",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
12/08/2021,BB-202108537,"Residential New","40 LAKEVIEW DR NE, ATLANTA GA 30317","NEW CONSTRUCTION WITH PORCHES, DECK, DIVEWAY, SIDE WALK , DRIVE UNDER GARAGE","LAKEVIEW NEW CONSTRUCTION",Accepted,,33.752666,-84.314298,1,rooftop,40,"Lakeview Dr NE",,,Atlanta,GA,"Dekalb County",30317,US,"City of Atlanta"
12/08/2021,BB-202108505,"Residential New","340 EUGENIA ST SW, ATLANTA GA 30312","NEW 3 STORY DUPLEX WITH PATIO AND GARAGE","EUGENIA TOWNHOMES",Accepted,,33.742718,-84.399055,1,rooftop,340,"Eugenia St SW",,,Atlanta,GA,"Fulton County",30312,US,"City of Atlanta"
12/08/2021,BB-202108500,"Residential New","48 WHITEFOORD AVE SE, ATLANTA GA 30317","12/ 8/ 21 BUILD A NEW HOUSE WITH PARTIAL2ND STORY AND PARTIAL BASEMENT -- IN PLACE OF EXISTING HOUSE ON THE PROPERTY TO BE REMOVED. BUILD A NEW DETACHED  ACESSORY STRUCTURE AT THE REAR OF THE PROPERTY.","PAILLE-CLIFTON RESIDENCE-NSF",Accepted,,33.752042,-84.342017,1,range_interpolation,48,"Whitefoord Ave SE",,,Atlanta,GA,"Dekalb County",30317,US,"TIGER/Line® dataset from the US Census Bureau"
12/08/2021,BB-202108468,"Residential New","353 MARY ST SW, ATLANTA GA 30310","New two story residence. 1974 conditioned sqft","353 Mary St.",Accepted,,33.729503,-84.399631,1,rooftop,353,"Mary St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/08/2021,BB-202108466,"Residential New","1948 JAMES RED MOORE BLVD NW, ATLANTA GA 30318","NEW SINGLE-FAMILY HOME. IT IS A TWO STORY HOUSE WITH AN ATTACHED GARAGE AND A PAVED DR(LD # 201300025)","West Highlands Lot 713",Accepted,,33.794286,-84.453455,1,rooftop,1948,"James Red Moore Blvd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/07/2021,BB-202108459,"Residential New","1924 BROWNS MILL RD SE, ATLANTA GA 30315","Install a Cross-mod (Double Wide Manufactured house with a site built garage) permanently to the concrete foundation.",Cross-Mods,Accepted,,33.701669,-84.375792,1,rooftop,1924,"Browns Mill Rd SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
12/07/2021,BB-202108456,"Residential New","1620 DERRY AVE SW, ATLANTA GA 30310","This project is for the Design and construction of a new single family home.  The work shall provide foundation, Floor, Wall, Ceiling and Roof Framing with exterior wall and roof materials and interior finishes.",NSF,Accepted,,33.743174,-84.440734,1,rooftop,1620,"Derry Ave SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/07/2021,BB-202108455,"Residential New","2371 ST JAMES DR NW, ATLANTA GA 30318","2 Story Single Family with Front Porch and Rear Patio",NSF,Accepted,,33.785576,-84.46586,1,rooftop,2371,"St James Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
12/07/2021,BB-202108443,"Residential New","1196 SHORE DR SW, ATLANTA GA 30311","NEW BUILD","1196 SHORE DR NSF",Posted,,33.722916,-84.481699,1,rooftop,1196,"Shore Dr SW",,,Atlanta,GA,"Fulton County",30311,US,"City of Atlanta"
12/07/2021,BB-202108439,"Residential New","2864 NORTH HILLS DR NE, ATLANTA GA 30305","11.18.2021 SCOPE UPDATED TO INCLUDE: SIDEWALK INSTALLDEMOLISH EXIST. FRONT AND ENTIRE FLOOR JOIST ADD A SECOND FLOOR WITH A MASTER SUITE AND ONE OTHER BEDROOM AND A BATHROOM. DEMOLISH LIVING ROOM WALLS, KITCHEN, REBUILD A NEW KITCHEN AND FAMILY ROOM ON THE SAME FOOT PRINT","ADDITION(NEW CONSTRUCTION DUE TO > 50% DEMO BB-202105739)","Routed for Review",,33.832843,-84.372535,1,rooftop,2864,"N Hills Dr NE",,,Atlanta,GA,"Fulton County",30305,US,"City of Atlanta"
12/07/2021,BB-202108437,"Residential New","796 BENDER ST SW, ATLANTA GA 30310","SF detached residential new construction on vacant lot.","Stakemann Residence NSF","Routed for Review",,33.733136,-84.406512,1,rooftop,796,"Bender St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/07/2021,BB-202108434,"Residential New","663 WEST VALLEY CT NW, ATLANTA GA 30327","NEW TWO STORY SINGLE FAMILY HOME WITH THREE CAR GARAGE, FRONT COVEREDPORCH, REAR SCREEN PORCH, DETACHED POOL CABANA AND RETAINING WALLS.","Spearman Residence NSF",Posted,,33.874642,-84.411121,1,rooftop,663,"W Valley Ct NW",,,Atlanta,GA,"Fulton County",30327,US,"City of Atlanta"
12/06/2021,BB-202108421,"Residential New","397 VILLAGE CREEK DR SE, ATLANTA GA 30354","New Construction of a two-story, four bedroom home with a front porch, side stoop, and driveway",NSF,Accepted,,33.669808,-84.379318,1,rooftop,397,"Village Creek Dr SE",,,Atlanta,GA,"Fulton County",30354,US,"City of Atlanta"
12/06/2021,BB-202108412,"Residential New","1150 OAK ST SW, ATLANTA GA 30310","NEW CONSTRUCTION","1150 OAK ST NEW CONSTRUCTION",Accepted,,33.740513,-84.425438,1,rooftop,1150,"Oak St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/03/2021,BB-202108381,"Residential New","446 ALLENDALE DR SE, ATLANTA GA 30317","New SFR","NSF Residence",Accepted,,33.740344,-84.294733,1,rooftop,446,"Allendale Dr SE",,,Atlanta,GA,"Dekalb County",30317,US,"City of Atlanta"
12/02/2021,BB-202108372,"Residential New","1010 VIOLET ST SW, ATLANTA GA 30310","CONSTRUCT NEW DUPLEX ON VACANT LOT. INCLUDES COVERED FRONT PORCH AND COVERED REAR PORCH.","1010 VIOLET ST -NEW DUPLEX",Accepted,,33.727763,-84.43157,1,rooftop,1010,"Violet St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/02/2021,BB-202108344,"Residential New","826 BERYL ST SW, ATLANTA GA 30310","CONSTRUCT NEW 2 STORY WOOD FRAME HOME, CREATE NEW COVERED FRONT PORCH, CREATE NEW DECK, CREATE NEW WALKWAY, CREATE NEW DRIVEWAY, INSTALL ALL NEW MEP'S.","NEW SINGLE FAMILY","Routed for Review",,33.732427,-84.406865,1,rooftop,826,"Beryl St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
12/01/2021,BB-202108382,"Residential New","1084 HUBBARD ST SW, ATLANTA GA 30310","NEW CONTRUCTION  2 STORY HOME","MILLING NEW CONSTRUCTION",Accepted,,33.725302,-84.402213,1,rooftop,1084,"Hubbard St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/30/2021,BB-202108294,"Residential New","359 MARY ST SW, ATLANTA GA 30310","New two story residence, 1786 conditional sqft","New Construction",Accepted,,33.729504,-84.399816,1,rooftop,359,"Mary St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/30/2021,BB-202108288,"Residential New","4436 CLUB DR NE, ATLANTA GA 30319","NEW CONSTRUCTION ON PREVIOUSLY DEMO'D LOT ; RESIDENCE,DRIVEWAY,RETAINING WALLS, COVERED PROCH & GARAGE.","4436 CLUB NSF",Posted,,33.875839,-84.354778,1,rooftop,4436,"Club Dr NE",,,Atlanta,GA,"Fulton County",30319,US,"City of Atlanta"
11/29/2021,BB-202108270,"Residential New","727 CASCADE AVE SW, ATLANTA GA 30310","New Construction","GPCUBE Investments LLC NSF",Accepted,,33.735543,-84.436819,1,rooftop,727,"Cascade Ave SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/29/2021,BB-202108269,"Residential New","986 MCDANIEL ST SW, ATLANTA GA 30310","Construct new single family residence with porch, attached carport, front walk, retaining wall, and driveway.","McDaniel SFR (V-21-234)",Posted,,33.728015,-84.401372,1,rooftop,986,"McDaniel St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/29/2021,BB-202108263,"Residential New","3651 RANDALL MILL RD NW, ATLANTA GA 30327","CONSTRUCTION OF SINGLE FAMILY HOME WITH 2-CAR GARAGE/POOL EQUIPMENT ACCESSORY BUILDING AND SWIMMING POOL.","PRAMIK RESIDENCE",Posted,,33.854707,-84.421276,1,rooftop,3651,"Randall Mill Rd NW",,,Atlanta,GA,"Fulton County",30327,US,"City of Atlanta"
11/25/2021,BB-202108312,"Residential New","1943 CONRAD AVE SE, ATLANTA GA 30315","NEW CONSTRUCTION","CONRAD NEW CONSTRUCTION",Terminated,,33.701269,-84.381846,1,rooftop,1943,"Conrad Ave SE",,,Atlanta,GA,"Fulton County",30315,US,"City of Atlanta"
11/24/2021,BB-202108314,"Residential New","988 MCDANIEL ST SW, ATLANTA GA 30310","NEW SINGLE FAMILY WITH PORCH, ATTACHED CARPORT FRONT WALK,RETAINING WALL AND DRIVEWAY","WALSH NEW CONSTRUCTION",Posted,,33.727945,-84.401374,1,rooftop,988,"McDaniel St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/24/2021,BB-202108313,"Residential New","990 MCDANIEL ST SW, ATLANTA GA 30310","NEW SINGLE FAMILY WITH PORCH, ATTACHED CARPORT,FRONT WALK,RETAINING WALL & DRIVEWAY","WALSH NEW SINGLE FAMILY(V-21-228)",Posted,,33.727875,-84.401377,1,rooftop,990,"McDaniel St SW",,,Atlanta,GA,"Fulton County",30310,US,"City of Atlanta"
11/23/2021,BB-202108217,"Residential New","1292 LANIER BLVD NE, ATLANTA GA 30306","Construct new single family residence with basement on vacant lot. Work includes covered front porch and covered rear patio.","Spencer Love Homes NSF",Posted,,33.789912,-84.350111,1,rooftop,1292,"Lanier Blvd NE",,,Atlanta,GA,"Fulton County",30306,US,"City of Atlanta"
11/23/2021,BB-202108213,"Residential New","639 OZBURN RD NW, ATLANTA GA 30318","New construction build from ground up.","Jones-Thomas NSF RESIDENCE",Accepted,,33.772595,-84.475684,1,rooftop,639,"Ozburn Rd NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
11/23/2021,BB-202108208,"Residential New","1884 MARKONE ST NW, ATLANTA GA 30318","Construction of new 1,415 sq. ft. single-family residence.","1884 Markone St","Routed for Review",,33.769561,-84.448618,1,rooftop,1884,"Markone St NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
11/22/2021,BB-202108206,"Residential New","366 TAZOR ST NW, ATLANTA GA 30314","NEW CONSTRUCTION 2 STORY HOME","366 TAZOR RENOVATION - NEW CONSTRUCTION (V-21-106)",Accepted,,33.764695,-84.421253,1,rooftop,366,"Tazor St NW",,,Atlanta,GA,"Fulton County",30314,US,"City of Atlanta"
11/22/2021,BB-202108204,"Residential New","409 KING RD NW, ATLANTA GA 30342","NEW SINGLE FAMILY RESIDENCE WITH TENNIS COURT AND LAP SWIMMING POOL","SINGLE FAMILY RESIDENCE (V-20-133)","Routed for Review",,33.862638,-84.400762,1,rooftop,409,"King Rd NW",,,Atlanta,GA,"Fulton County",30342,US,"City of Atlanta"
